Freq(MHz),Loss
13613.75,-7.80
13625.9375,-7.79
13638.125,-7.78
13650.3125,-7.74
13662.5,-7.84
13674.6875,-7.81
13686.875,-7.79
13699.0625,-7.78
13711.25,-7.84
13723.4375,-7.86
13735.625,-7.91
13747.8125,-7.90
13760,-7.85
13772.1875,-7.82
13784.375,-7.75
13796.5625,-7.78
13808.75,-7.78
13820.9375,-7.74
13833.125,-7.68
13845.3125,-7.66
13857.5,-7.65
13869.6875,-7.69
13881.875,-7.66
13894.0625,-7.74
13906.25,-7.78
13918.4375,-7.86
13930.625,-7.98
13942.8125,-8.06
13955,-8.11
13967.1875,-8.12
13979.375,-8.10
13991.5625,-8.07
14003.75,-8.17
14015.9375,-8.14
14028.125,-8.11
14040.3125,-8.02
14052.5,-7.92
14064.6875,-7.84
14076.875,-7.79
14089.0625,-7.77
14101.25,-7.73
14113.4375,-7.71
14125.625,-7.73
14137.8125,-7.74
14150,-7.81
14162.1875,-7.84
14174.375,-7.86
14186.5625,-7.94
14198.75,-7.97
14210.9375,-8.03
14223.125,-8.09
14235.3125,-8.09
14247.5,-8.06
14259.6875,-8.02
14271.875,-8.05
14284.0625,-8.05
14296.25,-8.03
14308.4375,-7.98
14320.625,-7.94
14332.8125,-7.89
14345,-7.91
14357.1875,-7.91
14369.375,-7.95
14381.5625,-7.94
14393.75,-7.89
14405.9375,-7.89
14418.125,-7.95
14430.3125,-8.00
14442.5,-8.00
14454.6875,-7.92
14466.875,-7.93
14479.0625,-7.95
14491.25,-7.90
14503.4375,-7.92
14515.625,-7.91
14527.8125,-7.90
14540,-7.90
14552.1875,-7.94
14564.375,-7.97
14576.5625,-8.01
14588.75,-8.02
14600.9375,-8.10
14613.125,-8.15
14625.3125,-8.28
14637.5,-8.31
14649.6875,-8.28
14661.875,-8.34
14674.0625,-8.36
14686.25,-8.40
14698.4375,-8.44
14710.625,-8.43
14722.8125,-8.37
14735,-8.33
14747.1875,-8.24
14759.375,-8.20
14771.5625,-8.19
14783.75,-8.18
14795.9375,-8.15
14808.125,-8.13
14820.3125,-8.15
14832.5,-8.21
14844.6875,-8.27
14856.875,-8.29
14869.0625,-8.35
14881.25,-8.48
14893.4375,-8.56
14905.625,-8.68
14917.8125,-8.74
14930,-8.71
14942.1875,-8.67
14954.375,-8.63
14966.5625,-8.67
14978.75,-8.67
14990.9375,-8.61
15003.125,-8.56
15015.3125,-8.45
15027.5,-8.33
15039.6875,-8.24
15051.875,-8.20
15064.0625,-8.14
15076.25,-8.11
15088.4375,-8.15
15100.625,-8.14
15112.8125,-8.23
15125,-8.24
15137.1875,-8.30
15149.375,-8.27
15161.5625,-8.29
15173.75,-8.32
15185.9375,-8.35
15198.125,-8.39
15210.3125,-8.36
