Freq(MHz),Loss
7654.0625,-15.58
7666.25,-15.54
7678.4375,-15.51
7690.625,-15.46
7702.8125,-15.43
7715,-15.38
7727.1875,-15.36
7739.375,-15.35
7751.5625,-15.35
7763.75,-15.38
7775.9375,-15.4
7788.125,-15.45
7800.3125,-15.5
7812.5,-15.56
7824.6875,-15.62
7836.875,-15.68
7849.0625,-15.73
7861.25,-15.78
7873.4375,-15.81
7885.625,-15.86
7897.8125,-15.9
7910,-15.93
7922.1875,-15.93
7934.375,-15.94
7946.5625,-15.94
7958.75,-15.96
7970.9375,-15.99
7983.125,-16.03
7995.3125,-16.08
8007.5,-16.09
8019.6875,-16.1
8031.875,-16.1
8044.0625,-16.11
8056.25,-16.13
8068.4375,-16.16
8080.625,-16.18
8092.8125,-16.16
8105,-16.15
8117.1875,-16.12
8129.375,-16.09
8141.5625,-16.08
8153.75,-16.08
8165.9375,-16.1
8178.125,-16.12
8190.3125,-16.15
8202.5,-16.18
8214.6875,-16.2
8226.875,-16.22
8239.0625,-16.25
8251.25,-16.27
8263.4375,-16.31
8275.625,-16.35
8287.8125,-16.36
8300,-16.34
8312.1875,-16.3
8324.375,-16.23
8336.5625,-16.17
8348.75,-16.1
8360.9375,-16.05
8373.125,-16
8385.3125,-15.94
8397.5,-15.89
8409.6875,-15.82
8421.875,-15.78
8434.0625,-15.75
8446.25,-15.75
8458.4375,-15.77
8470.625,-15.82
8482.8125,-15.86
8495,-15.87
8507.1875,-15.89
8519.375,-15.92
8531.5625,-15.91
8543.75,-15.92
8555.9375,-15.91
8568.125,-15.87
8580.3125,-15.85
8592.5,-15.8
8604.6875,-15.76
8616.875,-15.71
8629.0625,-15.69
8641.25,-15.62
8653.4375,-15.6
8665.625,-15.57
8677.8125,-15.57
8690,-15.57
8702.1875,-15.6
8714.375,-15.63
8726.5625,-15.65
8738.75,-15.69
8750.9375,-15.74
8763.125,-15.78
8775.3125,-15.82
8787.5,-15.84
8799.6875,-15.86
8811.875,-15.9
8824.0625,-15.91
8836.25,-15.95
8848.4375,-15.96
8860.625,-16
8872.8125,-16.01
8885,-16.01
8897.1875,-16.05
8909.375,-16.1
8921.5625,-16.17
8933.75,-16.16
8945.9375,-16.19
8958.125,-16.23
8970.3125,-16.23
8982.5,-16.2
8994.6875,-16.22
9006.875,-16.23
9019.0625,-16.25
9031.25,-16.28
9043.4375,-16.29
9055.625,-16.3
9067.8125,-16.3
9080,-16.29
9092.1875,-16.34
9104.375,-16.38
9116.5625,-16.45
9128.75,-16.48
9140.9375,-16.54
9153.125,-16.61
9165.3125,-16.62
9177.5,-16.61
9189.6875,-16.65
9201.875,-16.69
9214.0625,-16.69
9226.25,-16.66
9238.4375,-16.64
9250.625,-16.57
9262.8125,-16.49
9275,-16.42
9287.1875,-16.36
9299.375,-16.34
9311.5625,-16.28
9323.75,-16.26
9335.9375,-16.28
9348.125,-16.22
9360.3125,-16.19
9372.5,-16.17
9384.6875,-16.18
9396.875,-16.2
9409.0625,-16.2
9421.25,-16.22
9433.4375,-16.21
9445.625,-16.2
9457.8125,-16.14
9470,-16.08
9482.1875,-16.06
9494.375,-15.98
9506.5625,-15.95
9518.75,-15.94
9530.9375,-15.88
9543.125,-15.81
9555.3125,-15.78
9567.5,-15.75
9579.6875,-15.71
9591.875,-15.71
9604.0625,-15.7
9616.25,-15.73
9628.4375,-15.71
9640.625,-15.71
9652.8125,-15.72
9665,-15.72
9677.1875,-15.72
9689.375,-15.72
9701.5625,-15.74
9713.75,-15.74
9725.9375,-15.75
9738.125,-15.75
9750.3125,-15.79
9762.5,-15.77
9774.6875,-15.84
9786.875,-15.84
9799.0625,-15.86
9811.25,-15.89
9823.4375,-15.93
9835.625,-15.96
9847.8125,-15.99
9860,-16.05
9872.1875,-16.09
9884.375,-16.1
9896.5625,-16.1
9908.75,-16.1
9920.9375,-16.08
9933.125,-16.13
9945.3125,-16.15
9957.5,-16.18
9969.6875,-16.21
9981.875,-16.28
9994.0625,-16.3
10006.25,-16.32
10018.4375,-16.35
10030.625,-16.4
10042.8125,-16.45
10055,-16.49
10067.1875,-16.58
10079.375,-16.6
10091.5625,-16.66
10103.75,-16.61
10115.9375,-16.65
10128.125,-16.6
10140.3125,-16.6
10152.5,-16.61
10164.6875,-16.59
10176.875,-16.56
10189.0625,-16.53
10201.25,-16.5
10213.4375,-16.44
10225.625,-16.42
10237.8125,-16.43
10250,-16.43
10262.1875,-16.44
10274.375,-16.46
10286.5625,-16.44
10298.75,-16.39
10310.9375,-16.43
10323.125,-16.37
10335.3125,-16.4
10347.5,-16.35
10359.6875,-16.35
10371.875,-16.32
10384.0625,-16.28
10396.25,-16.2
10408.4375,-16.18
10420.625,-16.13
10432.8125,-16.1
10445,-16.11
10457.1875,-16.11
10469.375,-16.12
10481.5625,-16.09
10493.75,-16.07
10505.9375,-16.09
10518.125,-16.08
10530.3125,-16.06
10542.5,-16.04
10554.6875,-16.05
10566.875,-16.02
10579.0625,-16.01
10591.25,-15.99
10603.4375,-15.98
10615.625,-15.97
10627.8125,-15.94
10640,-15.95
10652.1875,-15.94
10664.375,-15.95
10676.5625,-15.94
10688.75,-15.95
10700.9375,-15.98
10713.125,-16.01
10725.3125,-16.04
10737.5,-16.04
